"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","Female 15-19 yr","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Births per 1,000 women","131.9",""
"Albania","Female 15-19 yr","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Births per 1,000 women","15.6",""
"Algeria","Female 15-19 yr","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Births per 1,000 women","8.5",""
"Angola","Female 15-19 yr","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Births per 1,000 women","142.8",""
"Argentina","Female 15-19 yr","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Births per 1,000 women","60.7",""
"Armenia","Female 15-19 yr","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Births per 1,000 women","30.9",""
"Aruba","Female 15-19 yr","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Births per 1,000 women","28.5",""
"Australia","Female 15-19 yr","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Births per 1,000 women","17.0","1"
"Austria","Female 15-19 yr","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Births per 1,000 women","13.5",""
"Azerbaijan","Female 15-19 yr","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Births per 1,000 women","28.9",""
"Bahamas","Female 15-19 yr","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Births per 1,000 women","55.7",""
"Bahrain","Female 15-19 yr","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Births per 1,000 women","18.7",""
"Bangladesh","Female 15-19 yr","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Births per 1,000 women","149.2",""
"Barbados","Female 15-19 yr","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Births per 1,000 women","42.6",""
"Belarus","Female 15-19 yr","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Births per 1,000 women","24.2",""
"Belgium","Female 15-19 yr","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Births per 1,000 women","8.4",""
"Belize","Female 15-19 yr","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Births per 1,000 women","91.2",""
"Benin","Female 15-19 yr","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Births per 1,000 women","136.0",""
"Bhutan","Female 15-19 yr","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Births per 1,000 women","50.9",""
"Bolivia","Female 15-19 yr","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Births per 1,000 women","84.4",""
"Bosnia and Herzegovina","Female 15-19 yr","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Births per 1,000 women","23.1",""
"Botswana","Female 15-19 yr","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Births per 1,000 women","61.2",""
"Brazil","Female 15-19 yr","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Births per 1,000 women","89.6",""
"Brunei","Female 15-19 yr","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Births per 1,000 women","30.7",""
"Bulgaria","Female 15-19 yr","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Births per 1,000 women","43.5",""
"Burkina Faso","Female 15-19 yr","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Births per 1,000 women","143.1",""
"Burundi","Female 15-19 yr","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Births per 1,000 women","54.9",""
"Cambodia","Female 15-19 yr","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Births per 1,000 women","49.3",""
"Cameroon","Female 15-19 yr","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Births per 1,000 women","136.5",""
"Canada","Female 15-19 yr","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Births per 1,000 women","13.4",""
"Cape Verde","Female 15-19 yr","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Births per 1,000 women","93.7",""
"Central African Republic","Female 15-19 yr","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Births per 1,000 women","132.7",""
"Chad","Female 15-19 yr","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Births per 1,000 women","189.6",""
"Channel Islands","Female 15-19 yr","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Births per 1,000 women","11.9","2"
"Chile","Female 15-19 yr","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Births per 1,000 women","61.6",""
"China","Female 15-19 yr","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Births per 1,000 women","2.3","3"
"Colombia","Female 15-19 yr","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Births per 1,000 women","74.9",""
"Comoros","Female 15-19 yr","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Births per 1,000 women","58.6","4"
"Congo","Female 15-19 yr","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Births per 1,000 women","128.7",""
"Congo Dem. Rep.","Female 15-19 yr","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Births per 1,000 women","230.5",""
