"Country or Area","Year","Value","Value Footnotes"
"Afghanistan","2005","6.822",""
"Albania","2005","1.919",""
"Algeria","2005","2.499",""
"Angola","2005","6.716",""
"Antigua and Barbuda","2005","2.224",""
"Arab World","2005","3.48166028940064",""
"Argentina","2005","2.452",""
"Armenia","2005","1.737",""
"Aruba","2005","1.77",""
"Australia","2005","1.807",""
"Austria","2005","1.41",""
"Azerbaijan","2005","2","2"
"Bahamas, The","2005","1.853",""
"Bahrain","2005","2.449",""
"Bangladesh","2005","2.687",""
"Barbados","2005","1.759",""
"Belarus","2005","1.21",""
"Belgium","2005","1.76",""
"Belize","2005","3.072",""
"Benin","2005","5.553",""
"Bermuda","2005","1.76",""
"Bhutan","2005","2.844",""
"Bolivia","2005","3.595",""
"Bosnia and Herzegovina","2005","1.22",""
"Botswana","2005","2.998",""
"Brazil","2005","2.066",""
"Brunei Darussalam","2005","1.994",""
"Bulgaria","2005","1.32",""
"Burkina Faso","2005","6.265",""
"Burundi","2005","6.729",""
"Cambodia","2005","3.227",""
"Cameroon","2005","5.358",""
"Canada","2005","1.54",""
"Cape Verde","2005","2.87",""
"Caribbean small states","2005","2.3149796287886",""
"Central African Republic","2005","5.089",""
"Chad","2005","7.074",""
"Channel Islands","2005","1.415",""
"Chile","2005","1.934",""
"China","2005","1.585",""
"Colombia","2005","2.197",""
"Comoros","2005","5.042",""
"Congo, Dem. Rep.","2005","6.799",""
"Congo, Rep.","2005","5.081",""
"Costa Rica","2005","2.065",""
"Cote d'Ivoire","2005","5.512",""
"Croatia","2005","1.5",""
"Cuba","2005","1.637",""
"Cyprus","2005","1.529",""
"Czech Republic","2005","1.29",""
"Denmark","2005","1.8",""
"Djibouti","2005","3.938",""
"Dominican Republic","2005","2.749",""
"East Asia & Pacific (all income levels)","2005","1.80178636047165",""
"East Asia & Pacific (developing only)","2005","1.85296512204816",""
"Ecuador","2005","2.793",""
"Egypt, Arab Rep.","2005","3.016",""
"El Salvador","2005","2.398",""
"Equatorial Guinea","2005","5.512",""
"Eritrea","2005","4.942",""
"Estonia","2005","1.52",""
"Ethiopia","2005","5.693",""
"Euro area","2005","1.49936022185267",""
"Europe & Central Asia (all income levels)","2005","1.58607797111858",""
"Europe & Central Asia (developing only)","2005","1.89154445680578",""
"European Union","2005","1.50144850184643",""
"Fiji","2005","2.86",""
"Finland","2005","1.8",""
"France","2005","1.94",""
"French Polynesia","2005","2.251",""
"Gabon","2005","4.23",""
"Gambia, The","2005","5.812",""
"Georgia","2005","1.678",""
"Germany","2005","1.34",""
"Ghana","2005","4.413",""
"Greece","2005","1.32",""
"Greenland","2005","2.3",""
"Grenada","2005","2.344",""
"Guam","2005","2.638",""
"Guatemala","2005","3.865",""
"Guinea","2005","5.729",""
"Guinea-Bissau","2005","5.403",""
"Guyana","2005","2.86",""
"Haiti","2005","3.757",""
"Heavily indebted poor countries (HIPC)","2005","5.72300176073074",""
"High income","2005","1.6812481168937",""
"High income: nonOECD","2005","1.79716189887717",""
"High income: OECD","2005","1.64678328636059",""
"Honduras","2005","3.293",""
"Hong Kong SAR, China","2005","0.966",""
"Hungary","2005","1.31",""
"Iceland","2005","2.05",""
"India","2005","2.966",""
"Indonesia","2005","2.481",""
"Iran, Islamic Rep.","2005","1.831",""
"Iraq","2005","4.557",""
"Ireland","2005","1.86",""
"Israel","2005","2.84",""
"Italy","2005","1.34",""
"Jamaica","2005","2.47",""
"Japan","2005","1.26",""
"Jordan","2005","3.734",""
"Kazakhstan","2005","2.22",""
"Kenya","2005","4.921",""
"Kiribati","2005","3.909",""
"Korea, Dem. Rep.","2005","2.005",""
"Korea, Rep.","2005","1.076",""
"Kosovo","2005","2.65",""
"Kuwait","2005","2.628",""
"Kyrgyz Republic","2005","2.5",""
"Lao PDR","2005","3.66",""
"Latin America & Caribbean (all income levels)","2005","2.38635821388803",""
"Latin America & Caribbean (developing only)","2005","2.39188748388156",""
"Latvia","2005","1.39",""
"Least developed countries: UN classification","2005","4.83919190160415",""
"Lebanon","2005","1.765",""
"Lesotho","2005","3.548",""
"Liberia","2005","5.456",""
"Libya","2005","2.675",""
"Liechtenstein","2005","1.49",""
"Lithuania","2005","1.29",""
"Low & middle income","2005","2.78861520064621",""
"Low income","2005","5.51211681070614",""
"Lower middle income","2005","3.19237751644231",""
"Luxembourg","2005","1.63",""
"Macao SAR, China","2005","0.84",""
"Macedonia, FYR","2005","1.53",""
"Madagascar","2005","5.039",""
"Malawi","2005","5.969",""
"Malaysia","2005","2.217",""
"Maldives","2005","2.347",""
"Mali","2005","6.794",""
"Malta","2005","1.38",""
"Marshall Islands","2005","4.5",""
"Mauritania","2005","5.114",""
"Mauritius","2005","1.88",""
"Mexico","2005","2.521",""
"Micronesia, Fed. Sts.","2005","3.823",""
"Middle East & North Africa (all income levels)","2005","2.87157287557058",""
"Middle East & North Africa (developing only)","2005","2.85373676687853",""
"Middle income","2005","2.5440036355913",""
"Moldova","2005","1.487",""
"Mongolia","2005","2.176",""
"Montenegro","2005","1.756",""
"Morocco","2005","2.466",""
"Mozambique","2005","5.736",""
"Myanmar","2005","2.714",""
"Namibia","2005","3.667",""
"Nepal","2005","3.289",""
"Netherlands","2005","1.71",""
"New Caledonia","2005","2.2",""
"New Zealand","2005","1.97",""
"Nicaragua","2005","2.677",""
"Niger","2005","7.702",""
"Nigeria","2005","5.985",""
"North America","2005","2.00518836510174",""
"Norway","2005","1.84",""
"OECD members","2005","1.77031313102801",""
"Oman","2005","2.957",""
"Other small states","2005","3.89825409533705",""
"Pacific island small states","2005","3.62882341654139",""
"Pakistan","2005","4.067",""
"Panama","2005","2.562",""
"Papua New Guinea","2005","4.263",""
"Paraguay","2005","3.04",""
"Peru","2005","2.684",""
"Philippines","2005","3.487",""
"Poland","2005","1.24",""
"Portugal","2005","1.41",""
"Puerto Rico","2005","1.7702",""
"Qatar","2005","2.562",""
"Romania","2005","1.39",""
"Russian Federation","2005","1.29",""
"Rwanda","2005","5.146",""
"Samoa","2005","4.46",""
"Sao Tome and Principe","2005","5.022",""
"Saudi Arabia","2005","3.3",""
"Senegal","2005","5.232",""
"Serbia","2005","1.45",""
"Seychelles","2005","2.2",""
"Sierra Leone","2005","5.805",""
"Singapore","2005","1.26",""
"Slovak Republic","2005","1.27",""
"Slovenia","2005","1.26",""
"Small states","2005","3.46197375496855",""
"Solomon Islands","2005","4.502",""
"Somalia","2005","7.291",""
"South Africa","2005","2.675",""
"South Asia","2005","3.0937800872162",""
"South Sudan","2005","5.803",""
"Spain","2005","1.33",""
"Sri Lanka","2005","2.286",""
"St. Lucia","2005","2.04",""
"St. Martin (French part)","2005","1.83",""
"St. Vincent and the Grenadines","2005","2.17",""
"Sub-Saharan Africa (all income levels)","2005","5.53769819570343",""
"Sub-Saharan Africa (developing only)","2005","5.53817256926633",""
"Sudan","2005","5.039",""
"Suriname","2005","2.619",""
"Swaziland","2005","3.871",""
"Sweden","2005","1.77",""
"Switzerland","2005","1.42",""
"Syrian Arab Republic","2005","3.401",""
"Tajikistan","2005","3.543",""
"Tanzania","2005","5.638",""
"Thailand","2005","1.568",""
"Timor-Leste","2005","6.3325","3"
"Togo","2005","5.179",""
"Tonga","2005","4.144",""
"Trinidad and Tobago","2005","1.769",""
"Tunisia","2005","2.04",""
"Turkey","2005","2.234",""
"Turkmenistan","2005","2.615",""
"Uganda","2005","6.583",""
"Ukraine","2005","1.213",""
"United Arab Emirates","2005","2.149",""
"United Kingdom","2005","1.76",""
"United States","2005","2.057",""
"Upper middle income","2005","1.8710543892604",""
"Uruguay","2005","2.158",""
"Uzbekistan","2005","2.36",""
"Vanuatu","2005","3.851",""
"Venezuela, RB","2005","2.629",""
