"Country or Area","Year","Value","Value Footnotes"
"Afghanistan","2005","11.1752702416587",""
"Albania","2005","5.72081995256856",""
"Algeria","2005","5.90000000198965",""
"Andorra","2005","7.83970449604648",""
"Antigua and Barbuda","2005","6.08322843204205",""
"Arab World","2005","6.22441824319799",""
"Argentina","2005","9.19848898286102",""
"Armenia","2005","13.8657112498155",""
"Aruba","2005","0.380390971382511",""
"Australia","2005","3.2066423006508",""
"Austria","2005","2.14068259595112",""
"Azerbaijan","2005","26.4000008082431",""
"Bahamas, The","2005","3.39529266953875",""
"Bahrain","2005","6.768939708829",""
"Bangladesh","2005","6.53594494052352",""
"Barbados","2005","4.03543307086613",""
"Belarus","2005","9.40000000000001",""
"Belgium","2005","2.09422151790646",""
"Belize","2005","2.57800880890768",""
"Benin","2005","1.71157762807459",""
"Bermuda","2005","1.67420714931701",""
"Bhutan","2005","7.12255964997142",""
"Bolivia","2005","4.42143312687979",""
"Bosnia and Herzegovina","2005","4.99999992596616",""
"Botswana","2005","4.55664565732843",""
"Brazil","2005","3.14890004348749",""
"Brunei Darussalam","2005","0.387506908960717",""
"Bulgaria","2005","7.23619299654061",""
"Burkina Faso","2005","8.66186160516736",""
"Burundi","2005","0.900000002864005",""
"Cambodia","2005","13.2500855570881",""
"Cameroon","2005","2.29685285606908",""
"Canada","2005","3.16312962405641",""
"Cape Verde","2005","6.91245798811823",""
"Caribbean small states","2005","3.8257807434135",""
"Central African Republic","2005","0.908086104179361",""
"Chad","2005","17.3325337350837",""
"Channel Islands","2005","1.37773415696212",""
"Chile","2005","5.55945253083594",""
"China","2005","11.352391423495",""
"Colombia","2005","4.70655593383118",""
"Comoros","2005","2.8374077642229",""
"Congo, Dem. Rep.","2005","6.13515115589797",""
"Congo, Rep.","2005","7.75575897797003",""
"Costa Rica","2005","5.88637731275065",""
"Cote d'Ivoire","2005","1.72124736731733",""
"Croatia","2005","4.16384089738375",""
"Cuba","2005","11.2017130777526",""
"Cyprus","2005","3.86310946126042",""
"Czech Republic","2005","6.44226229961096",""
"Denmark","2005","2.43702951569331",""
"Djibouti","2005","3.16960116903758",""
"Dominica","2005","-0.0882423765572753",""
"Dominican Republic","2005","9.26275007449469",""
"East Asia & Pacific (all income levels)","2005","4.4838646565869",""
"East Asia & Pacific (developing only)","2005","9.71297547299311",""
"Ecuador","2005","5.29130826699402",""
"Egypt, Arab Rep.","2005","4.47174447174446",""
"El Salvador","2005","3.56281450102233",""
"Equatorial Guinea","2005","16.748700605341",""
"Eritrea","2005","2.5744496012273",""
"Estonia","2005","9.37373678411686",""
"Ethiopia","2005","11.8187659353249",""
"Euro area","2005","1.69733267915599",""
"Europe & Central Asia (all income levels)","2005","2.57988400251965",""
"Europe & Central Asia (developing only)","2005","7.46769062012393",""
"European Union","2005","2.09624885098062",""
"Fiji","2005","0.699999968310735",""
"Finland","2005","2.77995503098056",""
"France","2005","1.60771381415587",""
"Gabon","2005","3.90070546559829",""
"Gambia, The","2005","-0.941676149617649",""
"Georgia","2005","9.59964080415958",""
"Germany","2005","0.70671394810023",""
"Ghana","2005","5.90000395288151",""
"Greece","2005","0.599142055474161",""
"Greenland","2005","1.97958552428175",""
"Grenada","2005","13.2730638678244",""
"Guatemala","2005","3.26011059925256",""
"Guinea","2005","2.99727256148894",""
"Guinea-Bissau","2005","4.26542519504669",""
"Guyana","2005","-1.95691115555377",""
"Haiti","2005","1.79168657429527",""
"Heavily indebted poor countries (HIPC)","2005","6.10931807648389",""
"High income","2005","2.85584737306908",""
"High income: nonOECD","2005","6.61801848343357",""
"High income: OECD","2005","2.57106267514804",""
"Honduras","2005","6.05059922215976",""
"Hong Kong SAR, China","2005","7.38814313185858",""
"Hungary","2005","4.35462358103121",""
"Iceland","2005","5.96035803142179",""
