Country or Area,Subgroup,Net Females Enrolled Primary Percent
Algeria,Female,95
Andorra,Female,79
Anguilla,Female,91
Armenia,Female,81
Aruba,Female,100
Australia,Female,97
Austria,Female,98
Azerbaijan,Female,84
Bahamas,Female,92
Bahrain,Female,97
Barbados,Female,98
Belarus,Female,88
Belgium,Female,99
Belize,Female,96
Benin,Female,70
Botswana,Female,84
British Virgin Islands,Female,95
Brunei,Female,94
Bulgaria,Female,93
Burkina Faso,Female,40
Burundi,Female,58
Cambodia,Female,98
Cape Verde,Female,89
Cayman Islands,Female,77
Chile,Female,89
Colombia,Female,87
Congo,Female,48
Cuba,Female,96
Cyprus,Female,99
Czech Republic,Female,93
Denmark,Female,96
Djibouti,Female,30
Dominica,Female,85
Dominican Republic,Female,88
Egypt,Female,91
El Salvador,Female,93
Eritrea,Female,43
Estonia,Female,95
Ethiopia,Female,59
Fiji,Female,96
Finland,Female,98
Ghana,Female,65
Greece,Female,99
Grenada,Female,83
Guatemala,Female,92
Guinea,Female,61
Honduras,Female,92
Hong Kong SAR,Female,90
Hungary,Female,88
Iceland,Female,97
India,Female,85
Indonesia,Female,94
Iran,Female,100
Iraq,Female,81
Ireland,Female,96
Israel,Female,98
Italy,Female,98
Jamaica,Female,90
Japan,Female,100
Jordan,Female,90
Kazakhstan,Female,90
Kenya,Female,79
Korea Rep,Female,99
Kuwait,Female,86
Kyrgyzstan,Female,86
Lao PDR,Female,81
Latvia,Female,89
Lebanon,Female,92
Lesotho,Female,89
Lithuania,Female,89
Luxembourg,Female,95
Macau SAR,Female,89
Macedonia,Female,92
Madagascar,Female,92
Malawi,Female,97
Maldives,Female,79
Mali,Female,45
Malta,Female,84
Mauritania,Female,72
Mauritius,Female,96
Mexico,Female,98
Mongolia,Female,85
Morocco,Female,83
Mozambique,Female,74
Myanmar,Female,91
Namibia,Female,74
Netherlands,Female,98
New Zealand,Female,99
Nicaragua,Female,86
Niger,Female,33
Nigeria,Female,64
Norway,Female,98
Oman,Female,76
Pakistan,Female,59
"Palestinian Territory, Occupied",Female,80
Panama,Female,98
Peru,Female,97
Philippines,Female,95
Poland,Female,97
Portugal,Female,98
Qatar,Female,96
Republic of Moldova,Female,86
Romania,Female,92
Russian Federation,Female,93
Rwanda,Female,75
Saint Kitts and Nevis,Female,96
Saint Lucia,Female,96
Sao Tome and Principe,Female,96
Saudi Arabia,Female,79
Senegal,Female,67
Slovakia,Female,92
Slovenia,Female,98
Spain,Female,99
St Vincent and the Grenadines,Female,88
Suriname,Female,96
Swaziland,Female,80
Sweden,Female,96
Switzerland,Female,93
Tajikistan,Female,96
Tanzania,Female,91
Togo,Female,72
Tonga,Female,93
Trinidad and Tobago,Female,90
Tunisia,Female,97
Turkey,Female,87
Turks and Caicos Islands,Female,81
Ukraine,Female,83
United Arab Emirates,Female,70
United Kingdom,Female,99
United States of America,Female,93
Vanuatu,Female,93
Venezuela,Female,92
Zambia,Female,89
