Country or Area,Subgroup,Percent Females Enrolled Secondary
Andorra,Female,
Anguilla,Female,79
Armenia,Female,86
Aruba,Female,78
Australia,Female,87
Azerbaijan,Female,76
Bahamas,Female,85
Bahrain,Female,93
Barbados,Female,97
Belarus,Female,89
Belgium,Female,98
Belize,Female,72
Botswana,Female,62
British Virgin Islands,Female,95
Brunei,Female,90
Bulgaria,Female,87
Burkina Faso,Female,9
Cambodia,Female,22
Cape Verde,Female,60
Cayman Islands,Female,92
Cuba,Female,88
Cyprus,Female,95
Denmark,Female,93
Djibouti,Female,18
Dominica,Female,92
Dominican Republic,Female,59
Egypt,Female,79
El Salvador,Female,54
Eritrea,Female,20
Estonia,Female,93
Ethiopia,Female,22
Fiji,Female,85
Finland,Female,95
France,Female,100
Ghana,Female,35
Greece,Female,92
Grenada,Female,80
Guinea,Female,17
Hong Kong SAR,Female,78
Hungary,Female,90
Iceland,Female,89
Indonesia,Female,58
Iran,Female,75
Iraq,Female,31
Ireland,Female,91
Israel,Female,89
Italy,Female,93
Jamaica,Female,80
Jordan,Female,80
Kazakhstan,Female,91
Kenya,Female,42
Kiribati,Female,71
Korea Rep,Female,91
Kyrgyzstan,Female,81
Lao PDR,Female,35
Lesotho,Female,30
Lithuania,Female,91
Luxembourg,Female,85
Macau SAR,Female,81
Macedonia,Female,81
Malawi,Female,22
Maldives,Female,66
Malta,Female,83
Mauritania,Female,14
Mauritius,Female,82
Mexico,Female,66
Mongolia,Female,90
Mozambique,Female,6
Myanmar,Female,37
Namibia,Female,44
Netherlands,Female,88
Nicaragua,Female,46
Niger,Female,6
Nigeria,Female,25
Norway,Female,97
Oman,Female,76
Pakistan,Female,18
"Palestinian Territory, Occupied",Female,98
Panama,Female,67
Peru,Female,69
Philippines,Female,66
Poland,Female,94
Portugal,Female,87
Qatar,Female,89
Republic of Moldova,Female,77
Romania,Female,82
Saint Kitts and Nevis,Female,85
Saint Lucia,Female,76
Sao Tome and Principe,Female,34
Saudi Arabia,Female,68
Senegal,Female,15
Seychelles,Female,100
Slovenia,Female,95
Spain,Female,100
St Vincent and the Grenadines,Female,71
Suriname,Female,87
Swaziland,Female,35
Sweden,Female,100
Switzerland,Female,81
Syria,Female,60
Tajikistan,Female,73
Trinidad and Tobago,Female,70
Turkey,Female,61
Turks and Caicos Islands,Female,69
Uganda,Female,14
Ukraine,Female,77
United Arab Emirates,Female,59
United Kingdom,Female,97
United States of America,Female,90
Venezuela,Female,67
Vietnam,Female,68
Zambia,Female,23
