"Country or Area","Year","Value","Value Footnotes"
"Afghanistan","2005","39.1",""
"Albania","2005","96",""
"Algeria","2005","87.7",""
"American Samoa","2005","99.9",""
"Andorra","2005","100",""
"Angola","2005","46",""
"Antigua and Barbuda","2005","97.8",""
"Arab World","2005","83.1374175119735",""
"Argentina","2005","97.3",""
"Armenia","2005","95.5",""
"Aruba","2005","95.8",""
"Australia","2005","100",""
"Austria","2005","100",""
"Azerbaijan","2005","78.5",""
"Bahamas, The","2005","97.3",""
"Bahrain","2005","100",""
"Bangladesh","2005","79.8",""
"Barbados","2005","98.4",""
"Belarus","2005","99.5",""
"Belgium","2005","100",""
"Belize","2005","91.1",""
"Benin","2005","70.3",""
"Bhutan","2005","90.4",""
"Bolivia","2005","82.9",""
"Bosnia and Herzegovina","2005","98.3",""
"Botswana","2005","95.3",""
"Brazil","2005","95.2",""
"Bulgaria","2005","99.6",""
"Burkina Faso","2005","69.1",""
"Burundi","2005","73.3",""
"Cambodia","2005","52.9",""
"Cameroon","2005","66.9",""
"Canada","2005","99.8",""
"Cape Verde","2005","85.6",""
"Caribbean small states","2005","93.6505374409193",""
"Cayman Islands","2005","95",""
"Central African Republic","2005","64.8",""
"Chad","2005","47.2",""
"Chile","2005","96.7",""
"China","2005","86.3",""
"Colombia","2005","90.5",""
"Comoros","2005","90.1",""
"Congo, Dem. Rep.","2005","49",""
"Congo, Rep.","2005","71.7",""
"Costa Rica","2005","96.2",""
"Cote d'Ivoire","2005","79.2",""
"Croatia","2005","98.7",""
"Cuba","2005","92.1",""
"Cyprus","2005","100",""
"Czech Republic","2005","99.9",""
"Denmark","2005","100",""
"Djibouti","2005","85.7",""
"Dominica","2005","94.4",""
"Dominican Republic","2005","86.5",""
"East Asia & Pacific (all income levels)","2005","86.7448148713895",""
"East Asia & Pacific (developing only)","2005","85.4075699809098",""
"Ecuador","2005","82.3",""
"Egypt, Arab Rep.","2005","97.1",""
"El Salvador","2005","86",""
"Equatorial Guinea","2005","47.3",""
"Eritrea","2005","53.7",""
"Estonia","2005","99.2",""
"Ethiopia","2005","38.3",""
"Euro area","2005","99.8149606748677",""
"Europe & Central Asia (all income levels)","2005","96.9108424171396",""
"Europe & Central Asia (developing only)","2005","92.4969161407877",""
"European Union","2005","99.2125737563935",""
"Fiji","2005","92.9",""
"Finland","2005","100",""
"France","2005","100",""
"French Polynesia","2005","100",""
"Gabon","2005","87.9",""
"Gambia, The","2005","85.9",""
"Georgia","2005","93",""
"Germany","2005","100",""
"Ghana","2005","77",""
"Greece","2005","99.4",""
"Greenland","2005","100",""
"Grenada","2005","96.6",""
"Guam","2005","99.6",""
"Guatemala","2005","87.3",""
"Guinea","2005","67.8",""
"Guinea-Bissau","2005","60.7",""
"Guyana","2005","90.2",""
"Haiti","2005","60.6",""
"Heavily indebted poor countries (HIPC)","2005","56.2363126172547",""
"High income","2005","98.5531838655674",""
"High income: nonOECD","2005","95.6944741006272",""
"High income: OECD","2005","99.3048931584589",""
"Honduras","2005","84.5",""
"Hungary","2005","99.2",""
"Iceland","2005","100",""
"India","2005","85.5",""
"Indonesia","2005","81.3",""
"Iran, Islamic Rep.","2005","95.1",""
"Iraq","2005","82.8",""
"Ireland","2005","96.9",""
"Israel","2005","100",""
"Italy","2005","100",""
"Jamaica","2005","93.6",""
"Japan","2005","100",""
"Jordan","2005","96.8",""
"Kazakhstan","2005","93.5",""
"Kenya","2005","56",""
"Kiribati","2005","62.2",""
"Korea, Dem. Rep.","2005","99.8",""
"Korea, Rep.","2005","96.1",""
"Kuwait","2005","99",""
"Kyrgyz Republic","2005","82.3",""
"Lao PDR","2005","56.8",""
"Latin America & Caribbean (all income levels)","2005","91.4897509218525",""
"Latin America & Caribbean (developing only)","2005","90.7403243381296",""
"Latvia","2005","98.6",""
"Least developed countries: UN classification","2005","60.281197879861",""
"Lebanon","2005","91.7",""
"Lesotho","2005","79.9",""
"Liberia","2005","66.8",""
"Lithuania","2005","93",""
"Low & middle income","2005","82.3119341380882",""
"Low income","2005","56.2503577077947",""
"Lower middle income","2005","82.0832138908379",""
"Luxembourg","2005","100",""
"Macedonia, FYR","2005","99.3",""
"Madagascar","2005","42.1",""
"Malawi","2005","71.8",""
"Malaysia","2005","95.7",""
"Maldives","2005","96.9",""
"Mali","2005","56.7",""
"Malta","2005","100",""
"Marshall Islands","2005","93.7",""
"Mauritania","2005","48.3",""
"Mauritius","2005","99.5",""
"Mexico","2005","91.4",""
"Micronesia, Fed. Sts.","2005","89.7",""
"Middle East & North Africa (all income levels)","2005","89.9413576666025",""
"Middle East & North Africa (developing only)","2005","88.8779849067367",""
"Middle income","2005","84.975839362517",""
"Moldova","2005","86.2",""
"Monaco","2005","100",""
"Mongolia","2005","60.2",""
"Montenegro","2005","97.9",""
"Morocco","2005","80.8",""
"Mozambique","2005","44.8",""
"Myanmar","2005","72.3",""
"Namibia","2005","83",""
"Nepal","2005","82.2",""
"Netherlands","2005","100",""
"New Caledonia","2005","95.5",""
"New Zealand","2005","100",""
"Nicaragua","2005","81.9",""
"Niger","2005","48.7",""
"Nigeria","2005","57.8",""
"North America","2005","99.078850960773",""
"Northern Mariana Islands","2005","96.4",""
"Norway","2005","100",""
"OECD members","2005","98.3758098564379",""
"Oman","2005","87.8",""
"Other small states","2005","81.5863446466308",""
"Pacific island small states","2005","87.8956477722483",""
"Pakistan","2005","89.5",""
"Palau","2005","94.3",""
"Panama","2005","91.4",""
"Papua New Guinea","2005","37.1",""
"Paraguay","2005","82.1",""
"Peru","2005","82.3",""
"Philippines","2005","88.6",""
"Poland","2005","96.8",""
"Portugal","2005","98.8",""
"Qatar","2005","99.7",""
"Romania","2005","91.1",""
"Russian Federation","2005","95.6",""
"Rwanda","2005","69.8",""
"Samoa","2005","95.5",""
"Sao Tome and Principe","2005","87",""
"Saudi Arabia","2005","96.7",""
"Senegal","2005","71.1",""
"Serbia","2005","99.3",""
"Seychelles","2005","95.7",""
"Sierra Leone","2005","52.3",""
"Singapore","2005","100",""
"Slovak Republic","2005","99.9",""
"Slovenia","2005","99.6",""
"Small states","2005","85.111619112457",""
"Solomon Islands","2005","80",""
"Somalia","2005","28.4",""
"South Africa","2005","88.9",""
"South Asia","2005","84.5649961694196",""
"Spain","2005","100",""
"Sri Lanka","2005","85.4",""
"St. Kitts and Nevis","2005","98.3",""
"St. Lucia","2005","94.9",""
"St. Vincent and the Grenadines","2005","95.1",""
"Sub-Saharan Africa (all income levels)","2005","58.7933819677863",""
"Sub-Saharan Africa (developing only)","2005","58.7988662456697",""
"Sudan","2005","58.5",""
"Suriname","2005","91.7",""
"Swaziland","2005","61.1",""
"Sweden","2005","100",""
"Switzerland","2005","100",""
"Syrian Arab Republic","2005","88.7",""
"Tajikistan","2005","64.6",""
"Tanzania","2005","54.7",""
"Thailand","2005","94.3",""
"Timor-Leste","2005","60.9",""
"Togo","2005","56.7",""
"Tonga","2005","98.7",""
"Trinidad and Tobago","2005","94.1",""
"Tunisia","2005","92.9",""
"Turkey","2005","95.7",""
"Turkmenistan","2005","60.2",""
"Turks and Caicos Islands","2005","87",""
"Tuvalu","2005","96",""
"Uganda","2005","64.5",""
"Ukraine","2005","97.2",""
"United Arab Emirates","2005","99.7",""
"United Kingdom","2005","100",""
"United States","2005","99",""
"Upper middle income","2005","88.2773690329251",""
"Uruguay","2005","97.9",""
"Uzbekistan","2005","87.8",""
"Vanuatu","2005","82.2",""
"Venezuela, RB","2005","91.9",""
"Vietnam","2005","84.5",""
"Virgin Islands (U.S.)","2005","100",""
"West Bank and Gaza","2005","80.3",""
"World","2005","85.5468574565688",""
"Yemen, Rep.","2005","56.5",""
"Zambia","2005","57.3",""
"Zimbabwe","2005","78.8",""

